"filename","functions","first_line","first_byte","last_line","last_byte","first_column","last_column","first_parsed","last_parsed","value"
"R/surveyFA.R","surveyFA",69,5,69,97,5,97,1128,1128,0
"R/surveyFA.R","surveyFA",80,5,80,72,5,72,1139,1139,0
"R/surveyFA.R","surveyFA",91,5,91,85,5,85,1150,1150,0
"R/surveyFA.R","surveyFA",99,11,99,28,11,28,1158,1158,0
"R/surveyFA.R","surveyFA",105,9,105,62,9,62,1164,1164,0
"R/surveyFA.R","surveyFA",123,7,123,19,7,19,1182,1182,0
"R/surveyFA.R","surveyFA",131,7,131,19,7,19,1190,1190,0
"R/surveyFA.R","surveyFA",139,7,139,19,7,19,1198,1198,0
"R/surveyFA.R","surveyFA",142,7,142,19,7,19,1201,1201,0
"R/surveyFA.R","surveyFA",145,7,145,19,7,19,1204,1204,0
"R/surveyFA.R","surveyFA",171,7,171,16,7,16,1230,1230,0
"R/surveyFA.R","surveyFA",191,11,191,15,11,15,1250,1250,0
"R/surveyFA.R","surveyFA",207,5,216,5,5,5,1266,1275,0
"R/surveyFA.R","surveyFA",211,9,214,9,9,9,1270,1273,0
"R/surveyFA.R","surveyFA",218,5,218,54,5,54,1277,1277,0
"R/surveyFA.R","surveyFA",219,9,219,30,9,30,219,219,0
"R/surveyFA.R","surveyFA",220,7,220,27,7,27,1279,1279,0
"R/surveyFA.R","surveyFA",223,5,223,63,5,63,1282,1282,0
"R/surveyFA.R","surveyFA",224,9,224,28,9,28,224,224,0
"R/surveyFA.R","surveyFA",225,7,225,27,7,27,1284,1284,0
"R/surveyFA.R","surveyFA",228,5,228,44,5,44,1287,1287,0
"R/surveyFA.R","surveyFA",229,5,229,58,5,58,1288,1288,0
"R/surveyFA.R","surveyFA",230,9,230,26,9,26,230,230,0
"R/surveyFA.R","surveyFA",231,7,231,67,7,67,1290,1290,0
"R/surveyFA.R","surveyFA",232,7,232,41,7,41,1291,1291,0
"R/surveyFA.R","surveyFA",233,11,233,31,11,31,233,233,0
"R/surveyFA.R","surveyFA",234,9,234,38,9,38,1293,1293,0
"R/surveyFA.R","surveyFA",235,9,235,66,9,66,1294,1294,0
"R/surveyFA.R","surveyFA",236,13,236,67,13,67,236,236,0
"R/surveyFA.R","surveyFA",237,11,237,27,11,27,1296,1296,0
"R/surveyFA.R","surveyFA",242,5,246,5,5,5,1301,1305,0
"R/surveyFA.R","surveyFA",247,5,247,22,5,22,1306,1306,0
"R/surveyFA.R","surveyFA",248,5,248,28,5,28,1307,1307,0
"R/surveyFA.R","surveyFA",249,5,249,36,5,36,1308,1308,0
"R/surveyFA.R","surveyFA",250,9,250,31,9,31,250,250,0
"R/surveyFA.R","surveyFA",250,53,250,61,53,61,250,250,0
"R/surveyFA.R","surveyFA",258,5,258,39,5,39,1317,1317,0
"R/surveyFA.R","surveyFA",260,5,260,39,5,39,1319,1319,0
"R/surveyFA.R","surveyFA",276,5,276,54,5,54,1335,1335,0
"R/surveyFA.R","surveyFA",277,9,277,67,9,67,277,277,0
"R/surveyFA.R","surveyFA",278,7,278,11,7,11,1337,1337,0
"R/surveyFA.R","surveyFA",281,5,281,84,5,84,1340,1340,0
"R/surveyFA.R","surveyFA",282,5,282,35,5,35,1341,1341,0
